property_name,city,rating,room_type,amenities,description,url,image_url,price_range,pet_friendly,bedrooms,location_details,raw_html,property_id,building_type,suite_features
Century Park Regent 3,Edmonton,4.7,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",Century Park Regent 3 Edmonton 4.7,https://premieresuites.com/furnished-apartments/edmonton/century-park-regent-3/,https://premiereweb.premieresuites.com/thumbs/8f7eaa0e-6afc-413b-b7a3-c0f78c4fa1ce_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('71e17770-e45a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/edmonton/century-park-regent-3/"" title=""Century Park Regent"">
<img alt=""Century Park Regent - Living Room 2"" src=""https://premiereweb.premieresuites.com/thumbs/8f7eaa0e-6afc-413b-b7a3-c0f78c4fa1ce_thumbs.jpg""/>
</a>
</div>
</div>",CENTURYPAR,Apartment Building,[]
The Lofts On Bannatyne,Winnipeg,5.0,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",The Lofts On Bannatyne Winnipeg 5.0,https://premieresuites.com/furnished-apartments/winnipeg/the-lofts-on-bannatyne/,https://premiereweb.premieresuites.com/thumbs/78662ef9-f95a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('77662ef9-f95a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/winnipeg/the-lofts-on-bannatyne/"" title=""The Lofts on Bannatyne"">
<img alt=""LR - BAN602"" src=""https://premiereweb.premieresuites.com/thumbs/78662ef9-f95a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",THELOFTSON,Apartment Building,[]
University Meadows   Iron Gate Street,Kitchener,4.6,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",University Meadows   Iron Gate Street Kitchener 4.6,https://premieresuites.com/furnished-apartments/kitchener/university-meadows---iron-gate-street/,https://premiereweb.premieresuites.com/thumbs/70b01912-fb5a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('6db01912-fb5a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/kitchener/university-meadows---iron-gate-street/"" title=""University Meadows - Iron Gate Street"">
<img alt=""Living Room Free WiFi Fully Furnished Apartment Suite Kitchener"" src=""https://premiereweb.premieresuites.com/thumbs/70b01912-fb5a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",UNIVERSITY,Apartment Building,[]
300 Front,Toronto,4.6,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",300 Front Toronto 4.6,https://premieresuites.com/furnished-apartments/toronto/300-front/,https://premiereweb.premieresuites.com/thumbs/ed081d24-f6e8-4f01-89b7-57cb36f8217c_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('ac5c3304-c35a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/toronto/300-front/"" title=""300 Front"">
<img alt=""300 Front - Kitchen"" src=""https://premiereweb.premieresuites.com/thumbs/ed081d24-f6e8-4f01-89b7-57cb36f8217c_thumbs.jpg""/>
</a>
</div>
</div>",300FRONT,Apartment Building,[]
Bellagio Terrace,Regina,4.0,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",Bellagio Terrace Regina 4.0,https://premieresuites.com/furnished-apartments/regina/bellagio-terrace/,https://premiereweb.premieresuites.com/thumbs/a3bbe9d4-159c-4759-a341-1ebabb7d4444_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('c5fbde39-e15a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/regina/bellagio-terrace/"" title=""Bellagio Terrace"">
<img alt=""Bellagio Terrace - Living Room"" src=""https://premiereweb.premieresuites.com/thumbs/a3bbe9d4-159c-4759-a341-1ebabb7d4444_thumbs.jpg""/>
</a>
</div>
</div>",BELLAGIOTE,Apartment Building,[]
Creighton Apartments,Fredericton,5.0,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",Creighton Apartments Fredericton 5.0,https://premieresuites.com/furnished-apartments/fredericton/creighton-apartments/,https://premiereweb.premieresuites.com/thumbs/f5d71f8d-f55a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('e7d71f8d-f55a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/fredericton/creighton-apartments/"" title=""The Creighton "">
<img alt=""D8 living room"" src=""https://premiereweb.premieresuites.com/thumbs/f5d71f8d-f55a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",CREIGHTONA,Apartment Building,[]
Solaire,Calgary,3.6,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",Solaire Calgary 3.6,https://premieresuites.com/furnished-apartments/calgary/solaire/,https://premiereweb.premieresuites.com/thumbs/4046c5e8-a2b9-eb11-811d-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('ebc90caa-f45a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/calgary/solaire/"" title=""Solaire"">
<img alt=""Dining &amp; Kitchen (1002)"" src=""https://premiereweb.premieresuites.com/thumbs/4046c5e8-a2b9-eb11-811d-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",SOLAIRE,Apartment Building,[]
The Gallery,Vancouver,4.3,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",The Gallery Vancouver 4.3,https://premieresuites.com/furnished-apartments/vancouver/the-gallery/,https://premiereweb.premieresuites.com/thumbs/b0043928-3c6a-4131-ac09-a4d36cd9a257_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('ed02a1ac-e75a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/vancouver/the-gallery/"" title=""Gallery"">
<img alt=""The Gallery - Living Room"" src=""https://premiereweb.premieresuites.com/thumbs/b0043928-3c6a-4131-ac09-a4d36cd9a257_thumbs.jpg""/>
</a>
</div>
</div>",THEGALLERY,Apartment Building,[]
Dockside Green   Balance A,Victoria,5.0,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",Dockside Green   Balance A Victoria 5.0,https://premieresuites.com/furnished-apartments/victoria/dockside-green---balance-a/,https://premiereweb.premieresuites.com/thumbs/5a7670bf-e55a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('597670bf-e55a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/victoria/dockside-green---balance-a/"" title=""Dockside Green - Balance A"">
<img alt=""Water View from Balance 704A"" src=""https://premiereweb.premieresuites.com/thumbs/5a7670bf-e55a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",DOCKSIDEGR,Apartment Building,[]
Citescape,Calgary,3.3,Suite,"['Terrace', 'Garden', 'Pet Friendly', 'Pool', 'Gym', 'Parking', 'In-suite Laundry', 'Laundry']",Citescape Calgary 3.3,https://premieresuites.com/furnished-apartments/calgary/citescape/,https://premiereweb.premieresuites.com/thumbs/efd8d0fb-d729-4ea1-89ea-17c097bc73d6_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('f4b03bf9-e45a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/calgary/citescape/"" title=""Citescape Eau Claire"">
<img alt=""Living Room 1"" src=""https://premiereweb.premieresuites.com/thumbs/efd8d0fb-d729-4ea1-89ea-17c097bc73d6_thumbs.jpg""/>
</a>
</div>
</div>",CITESCAPE,Apartment Building,[]
